city,cloudiness,country,date_list,humidity,Lat_List,Lng_List,Max_Temp_List,Wind_Speed_List
Nagahama,48,JP,1623713964,98,35.3833,136.2667,77.99,2.37
Port Macquarie,95,AU,1623713840,61,-31.4333,152.9167,56.89,2.04
Bubaque,98,GW,1623713965,80,11.2833,-15.8333,81.0,10.38
Saint-Philippe,57,RE,1623713965,75,-21.3585,55.7679,71.22,11.07
Khatanga,86,RU,1623713966,76,71.9667,102.5,48.67,6.96
Pristen',11,RU,1623713966,92,51.2355,36.6959,62.28,4.32
George Town,20,MY,1623713966,91,5.4112,100.3354,80.89,3.0
Rikitea,100,PF,1623713967,80,-23.1203,-134.9692,75.22,10.83
Cape Town,0,ZA,1623713942,85,-33.9258,18.4232,57.11,3.44
Eyl,100,SO,1623713967,74,7.9803,49.8164,78.01,18.37
Nikolskoye,80,RU,1623713968,70,59.7035,30.7861,54.39,6.15
Torbay,40,CA,1623713729,86,47.6666,-52.7314,51.28,10.36
Lompoc,1,US,1623713969,73,34.6391,-120.4579,91.56,16.11
Ulladulla,84,AU,1623713969,62,-35.35,150.4667,58.87,3.65
Kapaa,100,US,1623713969,79,22.0752,-159.319,84.18,3.0
Mitzic,37,GA,1623713970,96,0.7821,11.549,68.81,3.31
Gobabis,0,NA,1623713970,37,-22.45,18.9667,52.57,10.74
Boulder City,1,US,1623713970,6,35.9786,-114.8325,109.8,6.91
Ust-Kuyga,93,RU,1623713971,56,70.0167,135.6,55.4,9.31
Tasiilaq,14,GL,1623713971,76,65.6145,-37.6368,37.56,4.34
Umba,58,RU,1623713972,84,66.6871,34.3429,49.46,8.57
Busselton,90,AU,1623713754,82,-33.65,115.3333,51.08,11.05
Whitecourt,40,CA,1623713972,34,54.1502,-115.6855,83.44,13.8
Port Pirie,76,AU,1623713973,76,-33.1833,138.0167,48.29,11.95
Avarua,75,CK,1623713973,78,-21.2078,-159.775,75.25,12.66
Mataura,100,NZ,1623713973,95,-46.1927,168.8643,48.47,0.6
Dikson,6,RU,1623713974,92,73.5069,80.5464,38.82,13.4
Bathsheba,40,BB,1623713974,69,13.2167,-59.5167,81.21,18.41
Polis,12,CY,1623713975,88,35.0367,32.4264,71.42,6.53
Codrington,100,AU,1623713976,73,-38.2667,141.9667,52.97,8.88
